名,口,name,"メイ、ミョウ、な mei, myō, na",6
目,目,eye,"モク、（ボク）、め、（ま） moku, (boku), me, (ma)",5
立,立,stand up,"リツ、（リュウ）、た-つ、た-てる ritsu, (ryū), ta-tsu, ta-teru",5
力,力,power,"リョク、リキ、ちから ryoku, riki, chikara",2
林,木,woods,"リン、はやし rin, hayashi",8
六,八,six,"ロク、む、む-つ、むっ-つ、（むい） roku, mu, mu-tsu, mu'-tsu, (mui)",4
引,弓,pull,"イン、ひ-く、ひ-ける in, hi-ku, hi-keru",4
羽,羽,feather,"ウ、は、はね u, ha, hane",6
雲,雨,cloud,"ウン、くも un, kumo",12
園,囗,garden,"エン、その en, sono",13
遠,辵,far,"エン、（オン）、とお-い en, (on), too-i",13
何,人,what,"カ、なに、（なん） ka, nani, (nan)",7
科,禾,section,カ ka,9
夏,夊,summer,"カ、（ゲ）、なつ ka, (ge), natsu",10
家,宀,house,"カ、ケ、いえ、や ka, ke, ie, ya",10
歌,欠,song,"カ、うた、うた-う ka, uta, uta-u",14
画,田,tableau,"ガ、カク ga, kaku",8
回,囗,times,"カイ、（エ）、まわ-る、まわ-す kai, (e), mawa-ru, mawa-su",6
会,曰,association,"カイ、エ、あ-う kai, e, a-u",6
海,水,sea,"カイ、うみ kai, umi",9
絵,糸,picture,"カイ、エ kai, e",12
外,夕,outside,"ガイ、ゲ、そと、ほか、はず-す、はず-れる gai, ge, soto, hoka, hazu-su, hazu-reru",5
角,角,angle,"カク、かど、つの kaku, kado, tsuno",7
楽,木,pleasure,"ガク、ラク、たの-しい、たの-しむ gaku, raku, tano-shii, tano-shimu",13
活,水,active,カツ katsu,9
間,門,interval,"カン、ケン、あいだ、ま kan, ken, aida, ma",12
丸,丶,circle,"ガン、まる、まる-い、まる-める gan, maru, maru-i, maru-meru",3
岩,山,boulder,"ガン、いわ gan, iwa",8
顔,頁,face,"ガン、かお gan, kao",18
汽,水,steam,キ ki,7
記,言,write down,"キ、しる-す ki, shiru-su",10
帰,止,return,"キ、かえ-る、かえ-す ki, kae-ru, kae-su",10
弓,弓,"bow (archery, violin)","キュウ、ゆみ kyū, yumi",3
牛,牛,cow,"ギュウ、うし gyū, ushi",4
魚,魚,fish,"ギョ、うお、さかな gyo, uo, sakana",11
京,亠,capital,"キョウ、ケイ kyō, kei",8
強,弓,strong,"キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる kyō, gō, tsuyo-i, tsuyo-maru, tsuyo-meru, shi-iru",11
教,攴,teach,"キョウ、おし-える、おそ-わる kyō, oshi-eru, oso-waru",11
近,辵,near,"キン、ちか-い kin, chika-i",7
兄,儿,older brother,"ケイ、（キョウ）、あに kei, (kyō), ani",5
形,彡,shape,"ケイ、ギョウ、かた、かたち kei, gyō, kata, katachi",7
計,言,measure,"ケイ、はか-る、はか-らう kei, haka-ru, haka-rau",9
元,儿,origin,"ゲン、ガン、もと gen, gan, moto",4
言,言,say,"ゲン、ゴン、い-う、こと gen, gon, i-u, koto",7
原,厂,field,"ゲン、はら gen, hara",10
戸,戶,door,"コ、と ko, to",4
古,口,old,"コ、ふる-い、ふる-す ko, furu-i, furu-su",5
午,十,noon,ゴ go,4
後,彳,behind,"ゴ、コウ、のち、うし-ろ、あと、おく-れる go, kō, nochi, ushi-ro, ato, oku-reru",9
語,言,language,"ゴ、かた-る、かた-らう go, kata-ru, kata-rau",14
工,工,craft,"コウ、ク kō, ku",3
公,八,public,"コウ、おおやけ kō, ooyake",4
広,广,wide,"コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる kō, hiro-i, hiro-maru, hiro-meru, hiro-garu, hiro-geru",5
交,亠,mix,"コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす kō, maji-waru, maji-eru, ma-jiru, ma-zaru, ma-zeru, ka-u, ka-wasu",6
光,儿,ray,"コウ、ひか-る、ひかり kō, hika-ru, hikari",6
考,老,think,"コウ、かんが-える kō, kanga-eru",6
行,行,go,"コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う kō, gyō, (an), i-ku, yu-ku, okona-u",6
高,高,"tall, expensive","コウ、たか-い、たか、たか-まる、たか-める kō, taka-i, taka, taka-maru, taka-meru",10
黄,黃,yellow,"コウ、オウ、き、（こ） kō, ō, ki, (ko)",11
合,口,fit,"ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる gō, ga', (ka'), a-u, a-wasu, a-waseru",6
谷,谷,valley,"コク、たに koku, tani",7
国,囗,country,"コク、くに koku, kuni",8
黒,黑,black,"コク、くろ、くろ-い koku, kuro, kuro-i",11
今,人,now,"コン、キン、いま kon, kin, ima",4
才,手,genius,サイ sai,3
細,糸,thin,"サイ、ほそ-い、ほそ-る、こま-か、こま-かい sai, hoso-i, hoso-ru, koma-ka, koma-kai",11
作,人,make,"サク、サ、つく-る saku, sa, tsuku-ru",7
算,竹,calculate,サン san,14
止,止,stop,"シ、と-まる、と-める shi, to-maru, to-meru",4
市,巾,market,"シ、いち shi, ichi",5
矢,矢,arrow,"シ、や shi, ya",5
姉,女,older sister,"シ、あね shi, ane",8
思,心,think,"シ、おも-う shi, omo-u",9
紙,糸,paper,"シ、かみ shi, kami",10
寺,寸,Buddhist temple,"ジ、てら ji, tera",6
